id_penjualan,id_distributor,id_invoice,tanggal,id_customer,id_barang,jumlah_barang,unit,harga,mata_uang,level,nama,id_cabang_sales,cabang_sales,grup,kode_barang,nama_barang,kemasan,nama_tipe,kode_lini,lini
IN6301BRG0004,EPM,IN6301,2001-02-22,CUST55393,BRG0004,12,DUS,8701,IDR,Company,"APOTEK SAHABAT",CAB07,Padang,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",KAPSUL,"Produk jadi",201,VNS
IN6024BRG0005,TD,IN6024,2027-01-22,CUST55394,BRG0005,12,DUS,5648,IDR,Company,"KLINIK DR. ANDRI",CAB08,Lampung,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",TABLET,"Produk jadi",203,SLCYL
IN6184BRG0006,TA,IN6184,2028-01-22,CUST55395,BRG0006,25,DUS,2819,IDR,Company,"APOTEK TAPAK",CAB01,Aceh,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",TABLET,"Produk jadi",205,"OGB & PH"
IN6307BRG0007,EPM,IN6307,2023-01-22,CUST55396,BRG0007,14,DUS,4592,IDR,Company,"APOTEK MAJA",CAB02,Kuningan,Apotek,BRG0007,"ERGOTAMINE COFFEINE",BOTOL,"Produk jadi",206,ETIKAL
IN6245BRG0008,TD,IN6245,2030-01-22,CUST55397,BRG0008,34,DUS,3992,IDR,Company,"KLINIK GM",CAB03,Jakarta,Klinik,BRG0008,"TETRACYCLINE KAPSUL 250 MG",KAPSUL,"Produk jadi",204,MARCKS
IN6195BRG0009,TA,IN6195,2031-01-22,CUST55398,BRG0009,67,DUS,5781,IDR,Company,"APOTEK MERDEKA",CAB04,Bandung,Apotek,BRG0009,"AMBROXOL HC",BOTOL,"Produk jadi",207,VNS
IN6023BRG0010,EPM,IN6023,2001-02-22,CUST55399,BRG0010,15,DUS,6940,IDR,Company,"KLINIK SAHABAT",CAB05,Tangerang,Klinik,BRG0010,PARACETAMOL,BOTOL,"Produk jadi",208,SLCYL
IN6113BRG0001,TD,IN6113,2027-01-22,CUST55400,BRG0001,12,DUS,1170,IDR,Company,"APOTEK SINAR JAYA",CAB06,Bekasi,Apotek,BRG0001,"ACYCLOVIR DUS",DUS,"Produk jadi",206,"OGB & PH"
IN6141BRG0002,TD,IN6141,2028-01-22,CUST55401,BRG0002,25,DUS,2338,IDR,Company,"APOTEK SAHABAT",CAB07,Padang,Apotek,BRG0002,"ALERGINE TABLET SALUT",DUS,"Produk jadi",203,ETIKAL
IN6125BRG0003,TA,IN6125,2023-01-22,CUST55402,BRG0003,14,DUS,10691,IDR,Company,"APOTEK TAPAK",CAB01,Aceh,Apotek,BRG0003,AMPICILLIN,BOTOL,"Produk jadi",210,MARCKS
IN6176BRG0004,EPM,IN6176,2030-01-22,CUST55403,BRG0004,18,DUS,8701,IDR,Company,"APOTEK MAJA",CAB02,Kuningan,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",KAPSUL,"Produk jadi",201,VNS
IN6175BRG0005,TD,IN6175,2031-01-22,CUST55404,BRG0005,18,DUS,5648,IDR,Company,"KLINIK GM",CAB03,Jakarta,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",TABLET,"Produk jadi",203,SLCYL
IN6259BRG0006,TA,IN6259,2001-02-22,CUST55405,BRG0006,19,DUS,2819,IDR,Company,"APOTEK MERDEKA",CAB04,Bandung,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",TABLET,"Produk jadi",205,"OGB & PH"
IN6173BRG0001,EPM,IN6173,2027-01-22,CUST55406,BRG0001,12,DUS,4592,IDR,Company,"KLINIK SAHABAT",CAB05,Tangerang,Klinik,BRG0001,"ACYCLOVIR DUS",DUS,"Produk jadi",206,"OGB & PH"
IN6013BRG0002,TD,IN6013,2028-01-22,CUST55407,BRG0002,25,DUS,3992,IDR,Company,"APOTEK SINAR JAYA",CAB06,Bekasi,Apotek,BRG0002,"ALERGINE TABLET SALUT",DUS,"Produk jadi",203,ETIKAL
IN6086BRG0003,TD,IN6086,2023-01-22,CUST55408,BRG0003,14,DUS,5781,IDR,Company,"APOTEK SAHABAT",CAB07,Padang,Apotek,BRG0003,AMPICILLIN,BOTOL,"Produk jadi",210,MARCKS
IN6108BRG0004,TA,IN6108,2030-01-22,CUST55409,BRG0004,21,DUS,6940,IDR,Company,"KLINIK DR. ANDRI",CAB08,Lampung,Klinik,BRG0004,"TRAMADOL KAPSUL 50 MG",KAPSUL,"Produk jadi",201,VNS
IN6321BRG0001,EPM,IN6321,2031-01-22,CUST55410,BRG0001,22,DUS,1170,IDR,Company,"APOTEK TAPAK",CAB01,Aceh,Apotek,BRG0001,"ACYCLOVIR DUS",DUS,"Produk jadi",206,"OGB & PH"
IN5994BRG0002,TD,IN5994,2001-02-22,CUST55411,BRG0002,12,DUS,2338,IDR,Company,"APOTEK MAJA",CAB02,Kuningan,Apotek,BRG0002,"ALERGINE TABLET SALUT",DUS,"Produk jadi",203,ETIKAL
IN6146BRG0003,TA,IN6146,2027-01-22,CUST55412,BRG0003,25,DUS,10691,IDR,Company,"KLINIK GM",CAB03,Jakarta,Klinik,BRG0003,AMPICILLIN,BOTOL,"Produk jadi",210,MARCKS
IN6230BRG0004,EPM,IN6230,2028-01-22,CUST55413,BRG0004,14,DUS,8701,IDR,Company,"APOTEK MERDEKA",CAB04,Bandung,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",KAPSUL,"Produk jadi",201,VNS
IN5991BRG0005,TD,IN5991,2023-01-22,CUST55414,BRG0005,24,DUS,5648,IDR,Company,"KLINIK SAHABAT",CAB05,Tangerang,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",TABLET,"Produk jadi",203,SLCYL
IN6281BRG0006,TA,IN6281,2030-01-22,CUST55415,BRG0006,10,DUS,2819,IDR,Company,"APOTEK SINAR JAYA",CAB06,Bekasi,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",TABLET,"Produk jadi",205,"OGB & PH"
IN6226BRG0007,EPM,IN6226,2031-01-22,CUST55416,BRG0007,23,DUS,4592,IDR,Company,"APOTEK SAHABAT",CAB07,Padang,Apotek,BRG0007,"ERGOTAMINE COFFEINE",BOTOL,"Produk jadi",206,ETIKAL
IN6063BRG0008,TD,IN6063,2001-02-22,CUST55417,BRG0008,12,DUS,3992,IDR,Company,"APOTEK TAPAK",CAB01,Aceh,Apotek,BRG0008,"TETRACYCLINE KAPSUL 250 MG",KAPSUL,"Produk jadi",204,MARCKS
IN6131BRG0009,TD,IN6131,2027-01-22,CUST55418,BRG0009,10,DUS,5781,IDR,Company,"APOTEK MAJA",CAB02,Kuningan,Apotek,BRG0009,"AMBROXOL HC",BOTOL,"Produk jadi",207,VNS
IN6262BRG0010,TA,IN6262,2028-01-22,CUST55419,BRG0010,67,DUS,6940,IDR,Company,"KLINIK GM",CAB03,Jakarta,Klinik,BRG0010,PARACETAMOL,BOTOL,"Produk jadi",208,SLCYL
IN6028BRG0001,EPM,IN6028,2023-01-22,CUST55420,BRG0001,98,DUS,1170,IDR,Company,"APOTEK MERDEKA",CAB04,Bandung,Apotek,BRG0001,"ACYCLOVIR DUS",DUS,"Produk jadi",206,"OGB & PH"
IN6163BRG0002,TD,IN6163,2030-01-22,CUST55421,BRG0002,5,DUS,2338,IDR,Company,"KLINIK SAHABAT",CAB05,Tangerang,Klinik,BRG0002,"ALERGINE TABLET SALUT",DUS,"Produk jadi",203,ETIKAL
IN6191BRG0003,TA,IN6191,2031-01-22,CUST55422,BRG0003,4,DUS,10691,IDR,Company,"APOTEK SINAR JAYA",CAB06,Bekasi,Apotek,BRG0003,AMPICILLIN,BOTOL,"Produk jadi",210,MARCKS
IN6274BRG0004,EPM,IN6274,2001-02-22,CUST55423,BRG0004,8,DUS,8701,IDR,Company,"APOTEK SAHABAT",CAB07,Padang,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",KAPSUL,"Produk jadi",201,VNS
IN6003BRG0005,TD,IN6003,2027-01-22,CUST55424,BRG0005,9,DUS,5648,IDR,Company,"KLINIK DR. ANDRI",CAB08,Lampung,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",TABLET,"Produk jadi",203,SLCYL
IN6247BRG0006,TA,IN6247,2028-01-22,CUST55425,BRG0006,10,DUS,2819,IDR,Company,"APOTEK TAPAK",CAB01,Aceh,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",TABLET,"Produk jadi",205,"OGB & PH"
IN6311BRG0007,EPM,IN6311,2023-01-22,CUST55426,BRG0007,7,DUS,4592,IDR,Company,"APOTEK MAJA",CAB02,Kuningan,Apotek,BRG0007,"ERGOTAMINE COFFEINE",BOTOL,"Produk jadi",206,ETIKAL
IN6248BRG0008,TD,IN6248,2030-01-22,CUST55427,BRG0008,100,DUS,3992,IDR,Company,"KLINIK GM",CAB03,Jakarta,Klinik,BRG0008,"TETRACYCLINE KAPSUL 250 MG",KAPSUL,"Produk jadi",204,MARCKS
IN6042BRG0009,TD,IN6042,2031-01-22,CUST55428,BRG0009,67,DUS,5781,IDR,Company,"APOTEK MERDEKA",CAB04,Bandung,Apotek,BRG0009,"AMBROXOL HC",BOTOL,"Produk jadi",207,VNS
IN6133BRG0010,TA,IN6133,2001-02-22,CUST55429,BRG0010,78,DUS,6940,IDR,Company,"KLINIK SAHABAT",CAB05,Tangerang,Klinik,BRG0010,PARACETAMOL,BOTOL,"Produk jadi",208,SLCYL
IN6306BRG0001,EPM,IN6306,2027-01-22,CUST55430,BRG0001,45,DUS,1170,IDR,Company,"APOTEK SINAR JAYA",CAB06,Bekasi,Apotek,BRG0001,"ACYCLOVIR DUS",DUS,"Produk jadi",206,"OGB & PH"
IN6253BRG0002,TD,IN6253,2028-01-22,CUST55431,BRG0002,34,DUS,2338,IDR,Company,"APOTEK SAHABAT",CAB07,Padang,Apotek,BRG0002,"ALERGINE TABLET SALUT",DUS,"Produk jadi",203,ETIKAL
IN5980BRG0003,TA,IN5980,2023-01-22,CUST55432,BRG0003,20,DUS,10691,IDR,Company,"APOTEK TAPAK",CAB01,Aceh,Apotek,BRG0003,AMPICILLIN,BOTOL,"Produk jadi",210,MARCKS
IN6104BRG0004,EPM,IN6104,2030-01-22,CUST55433,BRG0004,45,DUS,8701,IDR,Company,"APOTEK MAJA",CAB02,Kuningan,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",KAPSUL,"Produk jadi",201,VNS
IN6050BRG0005,TD,IN6050,2031-01-22,CUST55434,BRG0005,34,DUS,5648,IDR,Company,"KLINIK GM",CAB03,Jakarta,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",TABLET,"Produk jadi",203,SLCYL
IN6054BRG0006,TD,IN6054,2001-02-22,CUST55435,BRG0006,34,DUS,2819,IDR,Company,"APOTEK MERDEKA",CAB04,Bandung,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",TABLET,"Produk jadi",205,"OGB & PH"
IN6219BRG0001,TA,IN6219,2027-01-22,CUST55436,BRG0001,34,DUS,4592,IDR,Company,"KLINIK SAHABAT",CAB05,Tangerang,Klinik,BRG0001,"ACYCLOVIR DUS",DUS,"Produk jadi",206,"OGB & PH"
IN6053BRG0002,EPM,IN6053,2028-01-22,CUST55437,BRG0002,44,DUS,3992,IDR,Company,"APOTEK SINAR JAYA",CAB06,Bekasi,Apotek,BRG0002,"ALERGINE TABLET SALUT",DUS,"Produk jadi",203,ETIKAL
IN6217BRG0003,TD,IN6217,2023-01-22,CUST55438,BRG0003,5,DUS,5781,IDR,Company,"APOTEK SAHABAT",CAB07,Padang,Apotek,BRG0003,AMPICILLIN,BOTOL,"Produk jadi",210,MARCKS
IN6323BRG0004,TA,IN6323,2030-01-22,CUST55439,BRG0004,6,DUS,6940,IDR,Company,"KLINIK DR. ANDRI",CAB08,Lampung,Klinik,BRG0004,"TRAMADOL KAPSUL 50 MG",KAPSUL,"Produk jadi",201,VNS
IN6241BRG0001,EPM,IN6241,2031-01-22,CUST55440,BRG0001,79,DUS,1170,IDR,Company,"APOTEK TAPAK",CAB01,Aceh,Apotek,BRG0001,"ACYCLOVIR DUS",DUS,"Produk jadi",206,"OGB & PH"
IN6134BRG0002,TD,IN6134,2001-02-22,CUST55441,BRG0002,12,DUS,2338,IDR,Company,"APOTEK MAJA",CAB02,Kuningan,Apotek,BRG0002,"ALERGINE TABLET SALUT",DUS,"Produk jadi",203,ETIKAL
IN6124BRG0003,TA,IN6124,2027-01-22,CUST55442,BRG0003,95,DUS,10691,IDR,Company,"KLINIK GM",CAB03,Jakarta,Klinik,BRG0003,AMPICILLIN,BOTOL,"Produk jadi",210,MARCKS
IN5981BRG0004,EPM,IN5981,2028-01-22,CUST55443,BRG0004,76,DUS,8701,IDR,Company,"APOTEK MERDEKA",CAB04,Bandung,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",KAPSUL,"Produk jadi",201,VNS
IN6220BRG0005,TD,IN6220,2023-01-22,CUST55444,BRG0005,48,DUS,5648,IDR,Company,"KLINIK SAHABAT",CAB05,Tangerang,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",TABLET,"Produk jadi",203,SLCYL
IN6122BRG0006,TD,IN6122,2030-01-22,CUST55445,BRG0006,21,DUS,2819,IDR,Company,"APOTEK SINAR JAYA",CAB06,Bekasi,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",TABLET,"Produk jadi",205,"OGB & PH"
IN6255BRG0007,TA,IN6255,2031-01-22,CUST55446,BRG0007,22,DUS,4592,IDR,Company,"APOTEK SAHABAT",CAB07,Padang,Apotek,BRG0007,"ERGOTAMINE COFFEINE",BOTOL,"Produk jadi",206,ETIKAL
IN6005BRG0008,EPM,IN6005,2001-02-22,CUST55447,BRG0008,12,DUS,3992,IDR,Company,"APOTEK TAPAK",CAB01,Aceh,Apotek,BRG0008,"TETRACYCLINE KAPSUL 250 MG",KAPSUL,"Produk jadi",204,MARCKS
IN6327BRG0009,TD,IN6327,2027-01-22,CUST55448,BRG0009,25,DUS,5781,IDR,Company,"APOTEK MAJA",CAB02,Kuningan,Apotek,BRG0009,"AMBROXOL HC",BOTOL,"Produk jadi",207,VNS
IN6119BRG0010,TA,IN6119,2028-01-22,CUST55449,BRG0010,14,DUS,6940,IDR,Company,"KLINIK GM",CAB03,Jakarta,Klinik,BRG0010,PARACETAMOL,BOTOL,"Produk jadi",208,SLCYL
IN6233BRG0001,EPM,IN6233,2023-01-22,CUST55450,BRG0001,24,DUS,1170,IDR,Company,"APOTEK MERDEKA",CAB04,Bandung,Apotek,BRG0001,"ACYCLOVIR DUS",DUS,"Produk jadi",206,"OGB & PH"
IN6235BRG0002,TD,IN6235,2030-01-22,CUST55451,BRG0002,10,DUS,2338,IDR,Company,"KLINIK SAHABAT",CAB05,Tangerang,Klinik,BRG0002,"ALERGINE TABLET SALUT",DUS,"Produk jadi",203,ETIKAL
IN6263BRG0003,TA,IN6263,2031-01-22,CUST55452,BRG0003,130,DUS,10691,IDR,Company,"APOTEK SINAR JAYA",CAB06,Bekasi,Apotek,BRG0003,AMPICILLIN,BOTOL,"Produk jadi",210,MARCKS
IN6269BRG0004,EPM,IN6269,2001-02-22,CUST55453,BRG0004,12,DUS,8701,IDR,Company,"APOTEK SAHABAT",CAB07,Padang,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",KAPSUL,"Produk jadi",201,VNS
IN6188BRG0005,TD,IN6188,2027-01-22,CUST55454,BRG0005,10,DUS,5648,IDR,Company,"KLINIK DR. ANDRI",CAB08,Lampung,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",TABLET,"Produk jadi",203,SLCYL
IN6116BRG0006,TD,IN6116,2028-01-22,CUST55455,BRG0006,67,DUS,2819,IDR,Company,"APOTEK TAPAK",CAB01,Aceh,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",TABLET,"Produk jadi",205,"OGB & PH"
IN6216BRG0007,TA,IN6216,2023-01-22,CUST55456,BRG0007,98,DUS,4592,IDR,Company,"APOTEK MAJA",CAB02,Kuningan,Apotek,BRG0007,"ERGOTAMINE COFFEINE",BOTOL,"Produk jadi",206,ETIKAL
IN6099BRG0008,EPM,IN6099,2030-01-22,CUST55457,BRG0008,5,DUS,3992,IDR,Company,"KLINIK GM",CAB03,Jakarta,Klinik,BRG0008,"TETRACYCLINE KAPSUL 250 MG",KAPSUL,"Produk jadi",204,MARCKS
IN6326BRG0009,TD,IN6326,2031-01-22,CUST55458,BRG0009,4,DUS,5781,IDR,Company,"APOTEK MERDEKA",CAB04,Bandung,Apotek,BRG0009,"AMBROXOL HC",BOTOL,"Produk jadi",207,VNS
IN6267BRG0010,TA,IN6267,2001-02-22,CUST55459,BRG0010,8,DUS,6940,IDR,Company,"KLINIK SAHABAT",CAB05,Tangerang,Klinik,BRG0010,PARACETAMOL,BOTOL,"Produk jadi",208,SLCYL
IN6238BRG0001,EPM,IN6238,2027-01-22,CUST55460,BRG0001,9,DUS,1170,IDR,Company,"APOTEK SINAR JAYA",CAB06,Bekasi,Apotek,BRG0001,"ACYCLOVIR DUS",DUS,"Produk jadi",206,"OGB & PH"
IN6214BRG0002,TD,IN6214,2028-01-22,CUST55461,BRG0002,21,DUS,2338,IDR,Company,"APOTEK SAHABAT",CAB07,Padang,Apotek,BRG0002,"ALERGINE TABLET SALUT",DUS,"Produk jadi",203,ETIKAL
IN6318BRG0003,TD,IN6318,2023-01-22,CUST55462,BRG0003,22,DUS,10691,IDR,Company,"APOTEK TAPAK",CAB01,Aceh,Apotek,BRG0003,AMPICILLIN,BOTOL,"Produk jadi",210,MARCKS
IN6256BRG0004,TA,IN6256,2030-01-22,CUST55463,BRG0004,12,DUS,8701,IDR,Company,"APOTEK MAJA",CAB02,Kuningan,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",KAPSUL,"Produk jadi",201,VNS
IN6048BRG0005,EPM,IN6048,2031-01-22,CUST55464,BRG0005,25,DUS,5648,IDR,Company,"KLINIK GM",CAB03,Jakarta,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",TABLET,"Produk jadi",203,SLCYL
IN6120BRG0006,TD,IN6120,2001-02-22,CUST55465,BRG0006,14,DUS,2819,IDR,Company,"APOTEK MERDEKA",CAB04,Bandung,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",TABLET,"Produk jadi",205,"OGB & PH"
IN6161BRG0001,TA,IN6161,2027-01-22,CUST55466,BRG0001,24,DUS,4592,IDR,Company,"KLINIK SAHABAT",CAB05,Tangerang,Klinik,BRG0001,"ACYCLOVIR DUS",DUS,"Produk jadi",206,"OGB & PH"
IN6292BRG0002,EPM,IN6292,2028-01-22,CUST55467,BRG0002,10,DUS,3992,IDR,Company,"APOTEK SINAR JAYA",CAB06,Bekasi,Apotek,BRG0002,"ALERGINE TABLET SALUT",DUS,"Produk jadi",203,ETIKAL
IN6286BRG0003,TD,IN6286,2023-01-22,CUST55468,BRG0003,120,DUS,5781,IDR,Company,"APOTEK SAHABAT",CAB07,Padang,Apotek,BRG0003,AMPICILLIN,BOTOL,"Produk jadi",210,MARCKS
IN6008BRG0004,TA,IN6008,2030-01-22,CUST55469,BRG0004,12,DUS,6940,IDR,Company,"KLINIK DR. ANDRI",CAB08,Lampung,Klinik,BRG0004,"TRAMADOL KAPSUL 50 MG",KAPSUL,"Produk jadi",201,VNS
IN6040BRG0001,EPM,IN6040,2031-01-22,CUST55470,BRG0001,10,DUS,1170,IDR,Company,"APOTEK TAPAK",CAB01,Aceh,Apotek,BRG0001,"ACYCLOVIR DUS",DUS,"Produk jadi",206,"OGB & PH"
IN6084BRG0002,TD,IN6084,2001-02-22,CUST55471,BRG0002,67,DUS,2338,IDR,Company,"APOTEK MAJA",CAB02,Kuningan,Apotek,BRG0002,"ALERGINE TABLET SALUT",DUS,"Produk jadi",203,ETIKAL
IN6074BRG0003,TD,IN6074,2027-01-22,CUST55472,BRG0003,98,DUS,10691,IDR,Company,"KLINIK GM",CAB03,Jakarta,Klinik,BRG0003,AMPICILLIN,BOTOL,"Produk jadi",210,MARCKS
IN6200BRG0004,TA,IN6200,2028-01-22,CUST55473,BRG0004,5,DUS,8701,IDR,Company,"APOTEK MERDEKA",CAB04,Bandung,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",KAPSUL,"Produk jadi",201,VNS
IN6065BRG0005,EPM,IN6065,2023-01-22,CUST55474,BRG0005,4,DUS,5648,IDR,Company,"KLINIK SAHABAT",CAB05,Tangerang,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",TABLET,"Produk jadi",203,SLCYL
IN6208BRG0006,TD,IN6208,2030-01-22,CUST55475,BRG0006,8,DUS,2819,IDR,Company,"APOTEK SINAR JAYA",CAB06,Bekasi,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",TABLET,"Produk jadi",205,"OGB & PH"
IN6148BRG0007,TA,IN6148,2031-01-22,CUST55476,BRG0007,9,DUS,4592,IDR,Company,"APOTEK SAHABAT",CAB07,Padang,Apotek,BRG0007,"ERGOTAMINE COFFEINE",BOTOL,"Produk jadi",206,ETIKAL
IN6072BRG0008,EPM,IN6072,2001-02-22,CUST55477,BRG0008,1,DUS,3992,IDR,Company,"APOTEK TAPAK",CAB01,Aceh,Apotek,BRG0008,"TETRACYCLINE KAPSUL 250 MG",KAPSUL,"Produk jadi",204,MARCKS
IN6095BRG0009,TD,IN6095,2027-01-22,CUST55478,BRG0009,5,DUS,5781,IDR,Company,"APOTEK MAJA",CAB02,Kuningan,Apotek,BRG0009,"AMBROXOL HC",BOTOL,"Produk jadi",207,VNS
IN6049BRG0010,TA,IN6049,2028-01-22,CUST55479,BRG0010,9,DUS,6940,IDR,Company,"KLINIK GM",CAB03,Jakarta,Klinik,BRG0010,PARACETAMOL,BOTOL,"Produk jadi",208,SLCYL
IN6039BRG0001,EPM,IN6039,2023-01-22,CUST55480,BRG0001,13,DUS,1170,IDR,Company,"APOTEK MERDEKA",CAB04,Bandung,Apotek,BRG0001,"ACYCLOVIR DUS",DUS,"Produk jadi",206,"OGB & PH"
IN6276BRG0002,TD,IN6276,2030-01-22,CUST55481,BRG0002,1,DUS,2338,IDR,Company,"KLINIK SAHABAT",CAB05,Tangerang,Klinik,BRG0002,"ALERGINE TABLET SALUT",DUS,"Produk jadi",203,ETIKAL
IN6015BRG0003,TD,IN6015,2031-01-22,CUST55482,BRG0003,5,DUS,10691,IDR,Company,"APOTEK SINAR JAYA",CAB06,Bekasi,Apotek,BRG0003,AMPICILLIN,BOTOL,"Produk jadi",210,MARCKS
IN6185BRG0004,TA,IN6185,2001-02-22,CUST55483,BRG0004,9,DUS,8701,IDR,Company,"APOTEK SAHABAT",CAB07,Padang,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",KAPSUL,"Produk jadi",201,VNS
IN6258BRG0005,EPM,IN6258,2027-01-22,CUST55484,BRG0005,1,DUS,5648,IDR,Company,"KLINIK DR. ANDRI",CAB08,Lampung,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",TABLET,"Produk jadi",203,SLCYL
IN6070BRG0006,TD,IN6070,2028-01-22,CUST55485,BRG0006,23,DUS,2819,IDR,Company,"APOTEK TAPAK",CAB01,Aceh,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",TABLET,"Produk jadi",205,"OGB & PH"
IN6210BRG0007,TA,IN6210,2023-01-22,CUST55486,BRG0007,4,DUS,4592,IDR,Company,"APOTEK MAJA",CAB02,Kuningan,Apotek,BRG0007,"ERGOTAMINE COFFEINE",BOTOL,"Produk jadi",206,ETIKAL
IN6083BRG0008,EPM,IN6083,2030-01-22,CUST55487,BRG0008,2,DUS,3992,IDR,Company,"KLINIK GM",CAB03,Jakarta,Klinik,BRG0008,"TETRACYCLINE KAPSUL 250 MG",KAPSUL,"Produk jadi",204,MARCKS
IN6322BRG0009,TD,IN6322,2031-01-22,CUST55488,BRG0009,17,DUS,5781,IDR,Company,"APOTEK MERDEKA",CAB04,Bandung,Apotek,BRG0009,"AMBROXOL HC",BOTOL,"Produk jadi",207,VNS
